trksub,digest2_feed_score,V,H,nobs,arc_days,not_seen_dys,followup_status,p_real_neo
SO000CV,100,18.6,27.9,5,0.01,0.817,needs_followup,0.704738114217988
P22q6nE,93,20.3,20.5,31,0.84,0.184,needs_followup,0.7042312082944896
A11EXtx,100,18.7,22.6,4,0.02,0.403,needs_followup,0.7041738709073525
6JD1C21,100,20.1,23.8,9,0.98,0.279,needs_followup,0.7037739246828613
MRjH966,100,22.3,23.6,6,5.07,1.054,tracked,0.702770646894399
A11GXkI,100,18.0,23.6,4,0.02,0.361,needs_followup,0.701203891245938
P12oZGt,100,21.0,20.7,4,0.02,0.162,needs_followup,0.7008209418665713
P22qfJD,96,21.2,21.4,4,0.03,0.069,needs_followup,0.6974380528631635
A11GrOE,98,18.4,27.1,8,0.38,0.127,needs_followup,0.697307153684916
oRc0136,95,22.2,22.0,13,0.23,1.523,needs_followup,0.696133263814103
P12qfu9,100,20.0,22.2,3,0.04,0.302,needs_followup,0.6916313806829866
CEQCZT2,100,21.0,20.7,33,5.97,1.326,tracked,0.6897043155938659
P12p4HH,91,21.5,21.4,11,14.08,0.154,tracked,0.6889715845191966
A11EYwE,98,18.6,26.8,7,0.14,0.299,needs_followup,0.6876824082136203
P12oW4l,100,19.1,24.1,3,0.01,0.174,needs_followup,0.6849876617965918
A11FwDx,98,18.0,23.7,7,0.23,0.052,needs_followup,0.6843928956727132
A11GnPa,100,19.3,24.1,6,0.02,0.979,needs_followup,0.6834226399327809
CERPED2,99,20.7,22.5,4,0.02,0.027,needs_followup,0.6818451401483989
P22orYG,100,21.4,25.8,11,0.68,0.23,needs_followup,0.6811601422541912
C1FXC75,100,21.9,24.5,12,0.12,0.27,needs_followup,0.6809585159425872
P12pBgv,100,19.4,21.2,4,0.03,0.393,needs_followup,0.6808651871967736
ZTF10GC,100,19.2,25.4,4,0.02,1.097,needs_followup,0.6801429029457795
P22q64z,100,21.9,21.9,3,0.02,0.294,needs_followup,0.6794065750825671
A11Fiqe,100,18.1,25.4,4,0.01,0.314,needs_followup,0.6790936179923629
P12pEJ7,100,21.0,21.7,5,0.1,0.265,needs_followup,0.6779161487119213
OP50643,96,21.7,22.2,12,14.84,0.424,tracked,0.6775072308855629
TF26H50,100,20.1,25.6,2,0.0,0.405,needs_followup,0.6773307978692806
P22pOYa,98,21.3,25.1,3,0.02,0.391,needs_followup,0.6750426024225654
P12q6aM,100,21.6,23.5,7,0.53,0.605,needs_followup,0.6739991220429958
A11FAuG,100,19.2,22.1,4,0.03,0.284,needs_followup,0.6731537763348674
SO000CU,100,17.4,26.8,4,0.0,0.312,needs_followup,0.6704809179781996
ST26G59,100,18.4,20.7,2,0.0,0.43,needs_followup,0.6693118003856353
A11Fiqf,100,17.4,22.0,8,0.1,0.212,needs_followup,0.6666394362647406
P22pRQ9,89,20.2,21.2,7,0.04,0.243,needs_followup,0.6662532672026289
P12pB65,100,19.8,21.8,3,0.02,0.237,needs_followup,0.6625805888256524
P12qbyB,100,19.5,23.5,2,0.02,0.373,needs_followup,0.6571107265806242
W2nCdO,79,23.7,26.6,14,19.01,1.535,tracked,0.6568407323610892
P12oASb,100,20.3,21.1,4,0.04,0.391,needs_followup,0.6557880338365492
P22papg,100,20.1,21.0,3,0.03,0.434,needs_followup,0.6538552733835112
orA5298,100,20.9,21.1,3,0.02,0.477,needs_followup,0.653375059511867
CERXY22,100,21.6,23.3,8,0.06,0.09,needs_followup,0.6485805830250407
CEQZ4U2,98,19.3,19.5,8,0.05,0.079,needs_followup,0.6477999554451819
A11H4g1,100,18.4,24.3,4,0.02,1.247,needs_followup,0.6437794384006581
P12qfOn,97,21.4,23.8,3,0.04,0.367,needs_followup,0.6436624317937274
P12o4wh,100,21.5,24.7,4,0.04,0.418,needs_followup,0.6433313215532679
C1G7J25,88,21.9,23.6,7,0.09,0.052,needs_followup,0.6418356876167441
C1FNDE5,99,21.3,22.9,12,0.11,0.316,needs_followup,0.6415147175294283
C46HWH1,98,18.0,26.6,12,0.18,0.249,needs_followup,0.6414740001584489
P22oVNL,100,21.9,21.8,6,0.1,0.356,needs_followup,0.6412977617180459
P12pZsW,95,22.3,21.2,6,0.13,0.278,needs_followup,0.63862803486637
C1FZ5Y5,95,21.3,23.5,4,0.02,0.293,needs_followup,0.6366698223756234
P12orpW,100,20.8,20.7,3,0.06,0.246,needs_followup,0.6347976584693327
ST26H05,100,18.5,20.1,4,0.03,0.397,needs_followup,0.6338158360457012
W023186,98,21.1,26.7,7,0.65,0.226,needs_followup,0.6306169559505521
KUQN1KR,91,22.3,22.0,3,0.09,0.772,needs_followup,0.629593747072537
A11GKav,100,17.1,21.0,4,0.02,0.398,needs_followup,0.6270845913238735
C1FWHY5,96,22.6,25.3,4,0.02,0.427,needs_followup,0.6252931796904309
ST26H93,100,18.6,20.2,4,0.17,0.229,needs_followup,0.6226274005224258
6H84F21,100,18.9,19.5,9,0.11,0.408,needs_followup,0.6205577422638968
MZ26371,100,19.2,20.7,4,0.01,0.525,needs_followup,0.6190111762386469
A11GkXC,100,15.9,26.3,4,0.03,0.359,needs_followup,0.6168504286231641
P22ppXW,100,19.9,21.9,3,0.02,0.379,needs_followup,0.614769184158881
CERWPH2,100,21.9,24.8,7,0.07,0.126,needs_followup,0.6141720139869664
C1GA5M5,99,21.9,23.8,3,0.02,0.388,needs_followup,0.6097748037041951
A11GMLc,100,19.0,25.9,6,0.13,0.099,needs_followup,0.6095182239340506
P12oAin,97,22.0,22.1,3,0.04,0.302,needs_followup,0.6087736402964311
CEQQZ32,100,20.1,24.4,8,0.04,0.232,needs_followup,0.6073729228738662
P12pZnr,100,21.7,24.2,5,0.14,0.329,needs_followup,0.6069401464212548
P12oO5C,95,21.4,22.4,6,0.17,0.259,needs_followup,0.6067350975134689
C1G8TZ5,89,22.8,25.1,4,0.02,0.079,needs_followup,0.5977102002014081
A11Ggjy,100,18.6,26.6,4,0.02,0.333,needs_followup,0.5972808829906522
P12oLCI,100,20.6,23.4,3,0.01,0.393,needs_followup,0.592204404057185
CERZGZ2,96,20.1,20.5,12,0.07,0.041,needs_followup,0.5884054730030804
P22orOr,100,22.2,22.4,3,0.03,1.003,needs_followup,0.5871235218535148
A11FyZe,88,16.3,27.9,17,0.62,0.115,needs_followup,0.5866129450110892
oRe0171,100,22.3,20.9,3,0.07,1.066,needs_followup,0.5846191369180733
gb00860,100,19.3,25.4,3,0.0,0.045,needs_followup,0.5835984557783289
P12oAfU,96,21.5,19.6,7,0.07,0.311,needs_followup,0.5818769876293814
P22pZcc,88,21.8,21.2,6,0.12,0.35,needs_followup,0.5816019351076828
P22pWJB,100,21.4,23.8,7,0.13,0.276,needs_followup,0.578839168290337
SE0003A,98,19.9,26.6,9,0.25,0.317,needs_followup,0.5776612588535263
C1FX255,100,22.1,24.4,8,0.12,0.303,needs_followup,0.5699315902624356
P12p4s9,95,21.7,20.9,3,0.02,0.755,needs_followup,0.56525083338793
P22p4xQ,100,22.4,23.0,5,0.13,0.24,needs_followup,0.5641832929688696
P22pKXS,100,21.4,21.9,3,0.03,0.381,needs_followup,0.5640133705663041
6JC2221,100,19.2,25.6,11,0.16,0.3,needs_followup,0.5631244927889459
P22pRjP,100,22.0,21.6,5,0.15,0.291,needs_followup,0.55870174271006
C1G1VQ5,95,22.6,26.0,8,0.06,0.016,needs_followup,0.5575464418972081
P12p4xw,100,20.7,23.4,9,0.07,0.354,needs_followup,0.5575263992320806
P22pZwL,100,22.3,24.6,6,0.09,0.281,needs_followup,0.5552366640970404
P22pZwK,100,22.1,25.4,6,0.1,0.284,needs_followup,0.5518640403351682
MP95354,100,21.6,21.6,6,4.1,0.946,tracked,0.5492101073214989
orA4931,100,21.2,17.0,3,0.02,0.262,needs_followup,0.5395014519727231
SO0009K,100,18.4,22.4,3,0.05,0.902,needs_followup,0.5351734704183781
P12owRG,100,20.7,22.1,4,0.02,0.212,needs_followup,0.5268863898254084
CEQVMD2,100,20.3,24.6,8,0.05,0.162,needs_followup,0.5257713146289625
A11GHvi,100,17.8,24.2,5,0.28,0.141,needs_followup,0.5237720455895947
C1G61Z5,88,21.9,23.3,6,0.09,0.087,needs_followup,0.5231877325109627
P22pap8,100,22.0,22.4,4,0.04,1.455,needs_followup,0.5194595228534155
P22pWJA,100,22.0,20.9,5,0.13,0.273,needs_followup,0.518996817324593
P22oVOw,94,20.6,20.2,6,0.13,0.282,needs_followup,0.5174098803163659
P22pRiF,100,21.4,22.2,3,0.02,0.04,needs_followup,0.5141834329344317
P12pZCA,86,20.7,22.3,4,0.04,0.293,needs_followup,0.5130873597386656
P12pZnp,95,21.7,20.7,6,0.13,0.33,needs_followup,0.5117907682610273
P12pBgw,100,20.8,20.1,3,0.03,0.392,needs_followup,0.5101265503507751
SO000CS,100,15.4,24.1,3,0.0,0.137,needs_followup,0.5100430294771038
P12ptKQ,100,16.2,19.6,8,0.15,0.154,needs_followup,0.5097409776801196
CERD652,87,22.0,21.3,8,0.1,0.035,needs_followup,0.5095006858113011
P12oAfC,100,20.7,22.2,4,0.04,0.399,needs_followup,0.5079297931518929
P22pl07,100,20.6,21.6,4,0.03,0.329,needs_followup,0.5062802737653458
P22pRjQ,100,21.7,24.0,5,0.15,0.29,needs_followup,0.504063566303559
P22oZwt,98,21.8,22.6,5,0.08,0.164,needs_followup,0.5014621461001503
STO1494,100,20.0,21.6,3,0.01,0.688,needs_followup,0.4998283469343084
P12oSL1,100,20.6,20.5,5,0.13,0.388,needs_followup,0.49507408053539254
P12paCm,100,20.3,20.1,3,0.04,0.196,needs_followup,0.49154871307701703
P22oLHm,100,20.5,20.2,2,0.03,0.252,needs_followup,0.48716014715782147
JJDS879,100,22.3,19.1,3,0.25,1.136,needs_followup,0.4847619152139748
C1G0NK5,100,19.7,30.0,11,0.08,0.098,needs_followup,0.4822386906162506
P22pL41,100,22.0,18.4,6,0.13,0.957,needs_followup,0.48021612472533126
P12p4AE,100,21.8,23.8,5,0.16,0.236,needs_followup,0.47190749333928456
P12pwAX,94,21.2,22.1,7,1.19,0.352,tracked,0.4693522761870584
P22q6aE,92,22.0,20.8,5,0.11,1.039,needs_followup,0.4680222692958419
P22oEGk,100,22.3,21.4,4,0.03,0.755,needs_followup,0.46545878622051673
X90289,100,21.3,21.1,3,0.02,0.657,needs_followup,0.45967188780034524
P22ppXD,100,21.1,21.0,5,0.52,0.206,needs_followup,0.45712193300140747
6HM3K21,100,20.0,21.1,3,0.01,0.387,needs_followup,0.4555891757819593
P22p4wv,88,22.4,21.2,5,0.06,0.377,needs_followup,0.45424828843274223
P12oZkE,97,21.9,26.2,5,0.11,0.202,needs_followup,0.452988973903699
STO1498,100,20.4,23.8,5,0.02,0.81,needs_followup,0.4478793320783763
P12payV,95,21.1,20.3,3,0.04,0.254,needs_followup,0.44242230329141924
A11FeGk,100,18.8,25.2,4,0.01,0.36,needs_followup,0.4415678012159112
P22pRlF,94,21.5,22.5,6,0.15,0.293,needs_followup,0.4392498873234316
PDOB866,99,22.6,21.2,3,0.13,0.862,needs_followup,0.4390753468506152
CERQW32,100,20.9,19.7,12,0.06,0.296,needs_followup,0.4366195129856547
P22pZAB,100,21.9,23.1,4,0.03,0.288,needs_followup,0.43529297283645946
6JD4321,82,19.8,20.9,21,1.0,0.436,tracked,0.43017269269575326
P12oEGv,100,21.7,21.1,3,0.03,0.747,needs_followup,0.42786811216991816
P12nRYz,100,21.2,20.9,15,2.84,5.346,going_stale,0.4255914236175614
P22oW3t,100,21.4,22.5,5,0.08,0.187,needs_followup,0.42483546348725676
C1G9C75,70,21.7,24.2,4,0.02,0.059,needs_followup,0.4236317005558119
SK000c1,97,18.4,18.8,3,0.04,0.652,needs_followup,0.41903776869794535
P22pKZA,83,21.8,21.4,3,0.04,0.26,needs_followup,0.4189746907152143
P12p4AG,93,21.4,20.9,3,0.02,0.378,needs_followup,0.4173154269698317
C46K1R1,100,18.4,16.8,85,1.12,0.19,tracked,0.41462568600026645
P12os33,100,21.1,23.5,5,0.09,0.832,needs_followup,0.41375665627143093
P22pZAE,83,22.2,22.5,4,0.05,0.287,needs_followup,0.41218210636225455
P12pkXT,100,20.9,24.1,3,0.02,0.384,needs_followup,0.40939169526571784
P12pkRb,100,21.6,22.8,3,0.02,0.193,needs_followup,0.4089928149973564
CERCZM2,100,21.2,26.6,8,0.08,0.057,needs_followup,0.408904726998802
A11GrOF,100,19.7,20.0,4,0.03,0.43,needs_followup,0.408398065530884
C1FVTC5,100,20.7,21.0,7,0.08,0.42,needs_followup,0.4073031735395187
C1FQ9Y5,92,21.6,24.1,8,0.04,0.297,needs_followup,0.4027055353498414
X90044,100,20.4,22.2,3,0.03,0.675,needs_followup,0.3992960160097175
X90000,100,21.0,21.8,3,0.03,3.147,going_stale,0.3991902874207165
P12oImt,100,20.0,19.9,2,0.03,0.382,needs_followup,0.39555685102403376
P12oAZ6,100,22.0,21.9,3,0.02,0.274,needs_followup,0.3923777514891866
P22orSE,100,21.5,23.6,6,0.12,0.86,needs_followup,0.3918389243662404
CYT089,100,19.8,20.5,4,0.01,0.815,needs_followup,0.3890900365200903
P12nCdO,98,22.3,26.2,8,0.88,13.451,going_stale,0.388744728213457
6H63821,100,20.3,22.0,6,0.09,0.096,needs_followup,0.3878150301727807
oRc0205,100,22.3,24.2,3,0.16,1.592,needs_followup,0.3875663768462851
P22ooOw,97,22.2,19.4,4,0.04,0.46,needs_followup,0.38631450864310524
A11FsmF,100,17.5,18.7,4,0.04,1.016,needs_followup,0.38194538058968597
P22paph,100,21.6,21.8,3,0.03,0.478,needs_followup,0.3795574064552017
P22p4pR,100,21.4,23.2,3,0.02,0.215,needs_followup,0.37829175733852344
P22oLCJ,100,19.9,20.7,4,0.04,0.331,needs_followup,0.3776178343506439
P12pL5Z,100,21.3,24.4,4,0.04,1.061,needs_followup,0.3775015193619816
MAS0015,100,20.6,17.7,3,0.01,0.766,needs_followup,0.3730776906947752
oRh0119,90,22.2,21.9,3,0.27,1.56,needs_followup,0.36861868401419473
P22pL40,100,21.7,24.0,4,0.03,1.104,needs_followup,0.3650503935701252
P12pap5,100,22.0,22.9,3,0.01,1.443,needs_followup,0.3611687266073724
P12p4vO,97,22.1,21.3,5,0.06,0.382,needs_followup,0.3601996558442933
P22pZAD,99,21.7,23.0,4,0.03,0.287,needs_followup,0.3601620695891947
P22paxH,100,21.0,22.7,3,0.04,0.288,needs_followup,0.35747284587725153
P22oVNN,74,21.7,21.1,7,0.09,0.357,needs_followup,0.35497293256491563
P22qfOb,97,21.5,19.8,4,0.03,0.367,needs_followup,0.35289397659632954
A11GP9t,100,18.2,25.2,3,0.03,0.637,needs_followup,0.3513593817023295
or09023,100,20.5,20.1,3,0.01,0.243,needs_followup,0.3506097794040223
P12pWPI,79,21.3,21.1,4,0.08,0.286,needs_followup,0.34979109943887987
C1G4KG5,100,20.4,26.8,8,0.02,0.339,needs_followup,0.34828821775750635
P12pkXl,100,19.7,23.3,3,0.03,0.384,needs_followup,0.3460962633523588
P22qbe3,100,22.1,25.3,3,0.02,1.119,needs_followup,0.34570116316629057
P22pl3Z,87,21.2,21.0,4,0.03,0.277,needs_followup,0.3439340251710987
A11GrOs,100,19.4,21.4,2,0.06,1.414,needs_followup,0.34285533741292085
X89913,100,21.6,20.9,3,0.03,0.985,needs_followup,0.34245569805394593
C1GCU65,100,22.5,22.3,4,0.02,0.292,needs_followup,0.33981869571301676
C1FRE35,100,20.6,28.9,4,0.01,0.391,needs_followup,0.3385637795944683
P22pKYy,100,21.7,22.4,4,0.03,0.345,needs_followup,0.336231668372379
P22pP3n,100,21.4,24.4,3,0.02,0.398,needs_followup,0.33021637787578567
P22oVNM,97,21.2,20.4,5,0.13,0.326,needs_followup,0.3287006568169883
W2onRQ,100,19.8,26.5,4,0.0,1.4,needs_followup,0.3262742221711472
P12oZg1,100,21.2,23.3,4,0.04,0.334,needs_followup,0.3262583341860021
P12oEF0,94,21.1,22.3,4,0.03,0.737,needs_followup,0.32599048109405715
P12oO5E,75,21.2,25.6,6,0.17,0.261,needs_followup,0.32588018935537705
P22pL3T,100,21.7,23.3,3,0.02,0.111,needs_followup,0.32447175705987863
SO0009x,100,16.2,12.8,3,0.03,0.869,needs_followup,0.3237976754171712
C1FT295,76,23.1,28.7,4,0.01,0.39,needs_followup,0.32180851106557934
A11EvW0,100,19.6,24.9,4,0.02,2.67,needs_followup,0.321675501525061
C1FW9G5,100,22.7,25.3,4,0.02,0.455,needs_followup,0.3176078698950258
P12oZh2,24,21.9,20.0,14,652.04,0.21,tracked,0.31658462136761023
OQU0195,100,21.2,22.5,3,0.05,0.811,needs_followup,0.31565277014859877
P12pfyW,100,21.5,25.7,3,0.02,0.35,needs_followup,0.31555723436490024
P22p4xS,89,22.5,20.7,6,0.13,0.242,needs_followup,0.3133211990330479
C1FP4X5,100,22.9,25.7,4,0.01,0.393,needs_followup,0.31101472597409835
P12owEN,80,21.5,22.0,8,0.21,0.215,needs_followup,0.30987910741644503
A11Gbbk,100,14.7,19.1,4,0.04,0.452,needs_followup,0.30897006196966403
oRc0346,100,22.3,22.6,4,0.13,1.621,needs_followup,0.3071254350183722
C1GDDM5,93,21.9,21.1,4,0.02,0.429,needs_followup,0.3056964854690962
orA4767,100,20.9,23.1,3,0.01,0.65,needs_followup,0.30486800204983516
P12patZ,86,20.9,20.8,3,0.03,0.329,needs_followup,0.30298773857602307
MQJ9246,85,22.0,20.6,11,6.62,0.345,tracked,0.30129840079869663
P12p4AH,83,21.7,19.7,5,0.15,0.232,needs_followup,0.29983229647939375
RdSH500,91,20.6,19.0,3,0.03,0.747,needs_followup,0.2995405397104272
P12pkZx,97,20.9,22.2,4,0.03,0.344,needs_followup,0.2991547078784474
P12osch,100,21.3,22.4,3,0.02,0.762,needs_followup,0.2955497451733673
P22pq2q,100,21.2,19.3,3,0.02,0.285,needs_followup,0.2903390576849936
C98FG8Z,100,99.9,34.8,4,0.02,5.071,going_stale,0.28917419099149044
ST26G55,100,19.0,16.2,2,0.0,0.234,needs_followup,0.28700265319104573
ST26H12,100,18.4,21.0,4,0.02,0.354,needs_followup,0.2864457117379067
P22pKZy,100,21.9,17.4,3,0.03,0.261,needs_followup,0.28543120140718636
RFD0345,100,99.9,35.6,2,0.0,1.286,needs_followup,0.28472778261082005
P12p4zK,100,21.1,22.8,3,0.03,0.323,needs_followup,0.28421105551644427
P22ooQq,100,21.1,21.2,4,0.02,0.223,needs_followup,0.2840028540023553
P12pkX8,78,21.5,21.7,3,0.01,0.427,needs_followup,0.28323433893354216
P12pZCB,91,20.7,20.2,4,0.04,0.295,needs_followup,0.28138274609199043
A11GKat,100,18.9,25.6,4,0.01,0.377,needs_followup,0.28133398557664807
C1FW5R5,97,22.1,27.2,4,0.02,0.454,needs_followup,0.2808684931290372
P12p4zJ,100,20.4,21.6,4,0.03,0.318,needs_followup,0.2805527786411646
P12onRm,96,20.9,20.5,5,0.13,1.311,needs_followup,0.28025435009611915
oNj0343,100,21.8,19.1,3,0.07,1.477,needs_followup,0.27945852170298713
STO1481,100,20.3,24.4,3,0.01,2.06,needs_followup,0.2768357057984065
MZ26307,100,18.1,18.4,4,0.01,0.513,needs_followup,0.2761982972977914
TR0000,86,18.3,28.4,29,0.59,0.333,needs_followup,0.27461119985224836
6JA3K21,100,18.0,20.3,3,0.01,0.063,needs_followup,0.2742904004585398
P22nLcH,68,22.2,20.7,11,2.98,8.283,going_stale,0.273937498802504
P12oEEZ,98,21.6,23.2,4,0.03,0.743,needs_followup,0.27239605533975586
A11G7zN,100,14.1,19.1,4,0.02,1.064,needs_followup,0.2715165566084012
P12oZxN,74,22.1,20.9,6,0.1,0.162,needs_followup,0.2688890083531661
P12pRCw,86,21.8,21.0,3,0.02,0.457,needs_followup,0.26818693980667513
ZTF10G8,100,19.8,23.1,4,0.04,0.989,needs_followup,0.2663617664846886
CERK2Q2,100,20.9,24.5,3,0.01,0.074,needs_followup,0.2661937466989843
P12oAio,99,21.6,22.0,4,0.04,0.305,needs_followup,0.26567456398374234
P22pfsJ,100,20.7,22.9,3,0.02,0.338,needs_followup,0.26477876525984434
6H74C22,100,20.1,25.6,6,0.13,0.433,needs_followup,0.2643579943945835
P22oG6W,100,20.9,21.4,3,0.03,0.219,needs_followup,0.26334085237606447
P22oO2i,93,21.7,19.6,5,0.1,0.426,needs_followup,0.26222668308068703
P22oG6X,100,21.7,20.1,3,0.03,0.22,needs_followup,0.2605675129819128
P12oG7Q,100,20.4,22.4,4,0.03,0.182,needs_followup,0.25813613259687224
ZTF10FL,100,21.9,23.8,4,0.06,6.937,going_stale,0.2571712095878527
A11FVo2,98,19.2,26.7,5,0.48,0.269,needs_followup,0.2561992429877522
ST26G80,100,19.9,26.5,6,0.05,0.886,needs_followup,0.25577541750538624
CERM0M2,100,21.0,20.6,4,0.02,0.047,needs_followup,0.2542389754268821
TF26G53,100,18.8,17.4,2,0.0,0.094,needs_followup,0.2537132686661183
P22oLCz,100,21.2,22.5,3,0.02,0.089,needs_followup,0.25336342286721475
P22qblY,72,22.0,20.5,4,0.03,1.064,needs_followup,0.2527894194987594
LA0D3nK,100,24.3,30.5,6,0.15,3.007,going_stale,0.25248825835642325
P12papq,100,20.1,25.0,3,0.01,0.475,needs_followup,0.2519431913244765
KVCD1ME,100,21.0,18.7,12,0.05,2.203,needs_followup,0.2516253433230382
P12pZnq,93,21.5,20.3,6,0.13,0.332,needs_followup,0.25120462268287336
CERCZP2,100,20.0,28.7,7,0.08,0.056,needs_followup,0.25029977970238393
P22qbAu,100,21.6,16.5,3,0.02,0.351,needs_followup,0.2502346264502871
6HK2621,98,19.2,23.7,6,0.16,0.03,needs_followup,0.24999549466217239
P22pL3Z,81,21.9,20.9,7,0.85,0.307,needs_followup,0.2475918625628309
6HM3721,98,19.0,21.1,9,0.09,0.082,needs_followup,0.24733824252126815
P12pfqZ,72,21.2,20.7,7,5.0,0.344,tracked,0.24520218459790677
LA0Cr6m,100,25.4,31.0,5,0.31,4.924,going_stale,0.24474621847264832
CERLQX2,100,20.4,22.5,4,0.02,0.048,needs_followup,0.24435245252159232
LA0CemH,100,26.3,30.2,5,0.23,3.927,going_stale,0.2439219097233089
P12pEFg,79,21.5,19.5,6,0.08,0.32,needs_followup,0.2438805004944751
P22oVrA,79,20.0,23.1,3,0.03,0.474,needs_followup,0.2436564682761883
P22qfOa,100,21.1,21.4,4,0.03,0.364,needs_followup,0.242130086441361
P22orV4,45,21.7,20.8,8,0.81,0.138,needs_followup,0.24176536454079442
C1G9VE5,100,21.5,27.6,4,0.02,0.035,needs_followup,0.24172445647529156
P12onRT,100,19.9,20.9,10,0.7,0.682,needs_followup,0.23963554535592702
P12p4s8,96,21.4,24.6,3,0.02,0.738,needs_followup,0.23884364891687176
ST26G01,98,21.2,27.0,14,0.1,3.609,going_stale,0.23799063533802134
ST26H76,100,19.5,24.5,4,0.02,0.341,needs_followup,0.23786054122203
orA4980,100,20.8,16.4,2,0.01,0.101,needs_followup,0.23683048326691628
P12pEFe,100,20.7,23.4,3,0.02,0.374,needs_followup,0.23322869572294014
TF26H03,100,17.1,19.4,2,0.0,0.044,needs_followup,0.2324030646228451
C1FQUM5,100,22.0,22.0,4,0.01,0.428,needs_followup,0.23221055865974563
6JE3K21,100,20.1,20.8,3,0.01,0.078,needs_followup,0.23156892734355838
TF26G51,100,18.6,17.2,2,0.0,0.103,needs_followup,0.23141294220725311
ST26G49,98,18.2,28.5,4,0.1,0.348,needs_followup,0.23081819422476996
P12pfyX,100,21.7,25.5,4,0.03,0.338,needs_followup,0.2288002724901723
A11EXt4,100,18.8,25.5,6,0.04,0.882,needs_followup,0.22850293566324364
P22pBlc,98,21.0,22.6,3,0.02,0.278,needs_followup,0.228463606591557
LA0Cq3M,100,24.9,30.0,5,0.21,2.532,needs_followup,0.22401846360750644
ST26H72,100,19.2,25.5,6,0.04,0.423,needs_followup,0.22380703626327877
P12pRQk,100,21.3,20.7,3,0.02,0.238,needs_followup,0.223239115854097
8NFG001,100,19.8,26.5,3,0.01,0.522,needs_followup,0.22275589335408993
P12pLdI,99,21.0,20.0,3,0.02,1.054,needs_followup,0.22120883486123302
ZTF10Ez,100,18.2,25.4,4,0.04,0.954,needs_followup,0.2211272839029486
P12payW,80,21.9,19.0,3,0.04,0.258,needs_followup,0.22110375969643556
ST26H52,100,19.6,26.8,6,0.06,0.439,needs_followup,0.2207650807248333
P22ooQe,10,21.8,18.0,32,689.26,0.28,tracked,0.21957919430224893
P22oZwv,96,21.8,20.4,10,0.1,0.157,needs_followup,0.2174057806144278
ZTF10Fd,100,17.3,22.2,6,0.03,0.593,needs_followup,0.2158760197256029
STO1505,100,20.7,23.2,3,0.01,0.718,needs_followup,0.21462101068167563
C46HDW1,100,20.0,27.5,7,0.05,0.056,needs_followup,0.21435175988514713
P12pwxf,99,21.4,20.5,3,0.02,0.509,needs_followup,0.21344401157212442
ST26G39,91,21.0,25.9,21,0.95,0.645,needs_followup,0.212747564363721
P22ooPS,100,21.1,23.2,3,0.02,0.303,needs_followup,0.21186091061174203
8N8R001,100,29.5,29.3,3,0.01,5.043,going_stale,0.21142205165347708
CERM0N2,100,21.4,25.8,4,0.02,0.047,needs_followup,0.21043211809185128
XAaiiXA,99,21.4,21.3,3,0.02,0.044,needs_followup,0.21028620652692243
P22oVrz,100,19.9,23.0,3,0.02,0.493,needs_followup,0.20634470417694095
A11F5VI,86,16.9,26.8,24,0.7,0.186,needs_followup,0.20572983894906027
CERHQU2,100,21.4,25.2,4,0.02,0.088,needs_followup,0.2045687631996781
P12p4IT,100,20.4,24.5,3,0.03,0.187,needs_followup,0.20441143140392135
ZTF10Fw,100,22.9,28.6,5,0.01,1.108,needs_followup,0.20432570445138448
P12pflz,100,22.3,16.9,3,0.02,0.959,needs_followup,0.20351374190477026
C1FP8U5,80,23.7,22.8,4,0.02,0.39,needs_followup,0.20333131192540388
OCA1666,100,19.8,26.0,3,0.01,0.533,needs_followup,0.20182783724919198
orA5076,100,20.8,22.9,3,0.01,0.558,needs_followup,0.20133816482168237
ST26H31,100,18.5,25.7,4,0.03,0.009,needs_followup,0.19997247370057591
ST26H68,100,19.3,26.1,4,0.01,0.975,needs_followup,0.19945926877115172
6H63K21,100,20.0,27.6,6,0.05,0.371,needs_followup,0.19837916392047322
P12pl4m,93,21.3,22.0,4,0.02,0.182,needs_followup,0.19817975002779364
C97PWMZ,100,21.9,26.3,4,0.02,4.134,going_stale,0.19807299384481739
ZTF10FO,100,19.2,23.8,4,0.03,0.849,needs_followup,0.1975526112889096
C1FXP05,100,21.2,26.7,4,0.02,0.34,needs_followup,0.19674426025726818
ZTF10G2,100,21.3,28.4,4,0.01,2.108,needs_followup,0.1965808171209449
P12p4to,100,21.4,23.9,4,0.02,0.675,needs_followup,0.19598630150964205
P12oVVf,93,21.1,20.2,5,0.11,0.229,needs_followup,0.19475458205804314
C1FRLU5,99,23.3,30.8,4,0.01,0.387,needs_followup,0.19430658062822592
ZTF10FG,100,19.3,27.1,4,0.01,0.389,needs_followup,0.19414399812545485
C1FQZ45,86,22.8,24.9,4,0.01,0.411,needs_followup,0.1941337096974441
ZTF10FF,100,19.7,24.4,4,0.03,0.465,needs_followup,0.19387945525837313
P12qkA7,82,21.9,8.4,3,0.04,0.954,needs_followup,0.19286283679433408
P12oW3R,100,20.3,17.9,4,0.03,0.242,needs_followup,0.19214324652484976
A11FAuF,100,18.2,22.9,4,0.01,0.333,needs_followup,0.19168351291881844
ST26G95,100,18.9,24.9,6,0.06,0.044,needs_followup,0.19150470786644372
P22ooOt,85,22.2,20.4,5,0.07,0.378,needs_followup,0.18984892168170117
P22qfOc,84,21.8,22.7,3,0.02,0.381,needs_followup,0.1884003971353713
