trksub,digest2_feed_score,V,H,nobs,arc_days,not_seen_dys,followup_status,p_real_neo
P22pZwM,98,21.7,22.4,6,0.1,0.285,needs_followup,0.8802787329430123
CEQJF02,98,20.9,27.2,11,0.63,0.989,needs_followup,0.8798769045043948
P22pEvZ,98,20.1,26.8,7,0.16,0.315,needs_followup,0.8793792971259745
P22oG5h,100,20.4,22.3,5,0.13,0.225,needs_followup,0.8788690764315363
CER1D52,98,20.5,26.9,11,0.08,0.212,needs_followup,0.8785612217421035
P12oO5A,98,19.1,26.9,6,0.13,0.254,needs_followup,0.8779917183451157
ST26H80,100,18.0,24.5,6,0.1,0.409,needs_followup,0.8776075883653751
P22pEMA,98,20.8,26.8,6,0.1,0.201,needs_followup,0.8767686043043456
C46H8F1,100,19.0,26.4,11,0.08,0.031,needs_followup,0.8760990129592089
CERV9W2,98,21.6,22.3,10,0.08,0.01,needs_followup,0.8759969540219433
P22pEvY,100,21.2,24.8,6,0.15,0.315,needs_followup,0.875694435763557
CERCH82,98,18.5,23.8,11,0.1,0.031,needs_followup,0.8742734157652409
C1FZKW5,100,22.3,22.6,6,0.05,0.193,needs_followup,0.8741570146722278
ZTF10GA,88,18.9,27.8,17,0.58,0.015,needs_followup,0.8723863033922712
P22oZts,100,20.9,25.3,5,0.08,0.16,needs_followup,0.8721427300631881
P12oO5B,98,19.4,28.4,7,0.12,0.253,needs_followup,0.8717988683460154
X89853,100,20.3,24.6,8,2.57,0.317,tracked,0.8710318761839856
C46JQC1,100,18.7,25.4,9,0.08,0.084,needs_followup,0.8708411552502991
P22pvNY,100,20.6,25.3,9,0.29,0.111,needs_followup,0.8706027965627331
CERNQ52,100,19.4,33.4,5,0.04,0.018,needs_followup,0.8674544221275071
ST26H70,100,19.0,24.5,8,0.08,0.395,needs_followup,0.8674309595739143
P12onNt,100,20.1,25.2,10,1.85,0.561,tracked,0.866074976886513
P22qbsK,98,19.5,27.3,6,0.09,0.345,needs_followup,0.8658580401016461
P12oO4k,98,19.8,26.2,5,0.17,0.257,needs_followup,0.8657044643939761
C1FVXQ5,100,20.8,28.1,7,0.04,0.43,needs_followup,0.8647657165143652
A11F0Hv,86,17.2,27.6,18,5.14,0.295,tracked,0.8644201991461212
Sar2915,88,19.8,27.7,23,0.81,0.289,needs_followup,0.8643960039589655
ST26H53,100,18.4,25.8,10,0.07,0.413,needs_followup,0.8639843042333718
P22ooOs,100,21.9,22.5,5,0.07,0.38,needs_followup,0.8635454426123649
ST26H15,100,19.4,26.0,7,0.05,0.047,needs_followup,0.8629138386148988
ZTF10Ek,100,19.5,24.8,5,0.99,0.662,needs_followup,0.861964009773183
CERUZ22,100,21.2,27.0,14,0.08,0.097,needs_followup,0.8616457883288339
ST26H35,98,20.0,27.0,12,0.17,0.338,needs_followup,0.8616080708290317
CERRLT2,98,19.8,26.3,10,0.1,0.105,needs_followup,0.8613173411466379
ST26G72,98,19.4,27.3,8,0.11,0.014,needs_followup,0.8609130926204168
P12owDv,100,20.1,24.2,10,0.19,0.236,needs_followup,0.8607628025006322
ST26H37,100,19.9,24.0,8,0.11,0.369,needs_followup,0.8607438959503801
ZTF10Eq,100,20.0,26.5,6,0.05,0.446,needs_followup,0.8604888730166008
CERENX2,100,19.6,24.2,8,0.07,0.062,needs_followup,0.8599050534387207
CERGNJ2,100,19.4,27.7,7,0.06,0.054,needs_followup,0.8597811574631047
P22pWJx,98,22.1,22.3,5,0.13,0.274,needs_followup,0.859358107765867
CERGNH2,100,19.5,24.6,8,0.05,0.061,needs_followup,0.8589940706240139
ST26H01,98,18.8,27.9,8,0.11,0.029,needs_followup,0.8587715150976967
CERV6T2,100,20.1,25.9,14,0.07,0.037,needs_followup,0.8587195877394528
CEQZ132,100,20.0,22.7,7,0.07,0.083,needs_followup,0.857505548076482
ST26H25,100,19.3,23.5,13,0.33,0.212,needs_followup,0.8574140504610088
P12owDw,100,19.9,25.5,8,0.13,0.278,needs_followup,0.8564096286959781
PDO0160,100,21.4,25.7,5,0.52,0.364,needs_followup,0.8561772204025394
P12o4wj,100,21.7,22.0,7,0.04,0.418,needs_followup,0.8543265306577736
P22qbqK,98,19.2,28.7,27,0.45,0.025,needs_followup,0.8531763527966777
ST26H81,98,19.2,27.5,6,0.1,0.353,needs_followup,0.8528369374936843
ST26H67,86,19.9,27.3,21,0.92,0.086,needs_followup,0.8524600786986432
ST26G73,98,19.5,24.2,6,0.11,0.008,needs_followup,0.8517155572400746
P22pWJz,100,20.3,25.2,8,0.13,0.276,needs_followup,0.8497074649418923
Sar2903,96,20.6,26.7,24,0.43,0.089,needs_followup,0.8494689901386818
C46HM51,100,18.8,28.4,11,0.04,0.184,needs_followup,0.8483538097604161
MRfB109,100,21.4,21.3,6,3.07,0.926,tracked,0.8480055134894867
P22pL3U,100,21.8,21.9,3,0.03,0.107,needs_followup,0.8478659297696038
6J31D21,100,20.7,21.7,5,0.09,0.128,needs_followup,0.8474513386411513
CER6YZ2,99,21.7,23.0,11,0.1,0.079,needs_followup,0.846223305228977
P22orSB,98,21.6,27.1,5,0.12,0.857,needs_followup,0.8458982721792219
gb00866,86,19.7,27.5,18,0.83,0.288,needs_followup,0.8452880779274398
P12qfMd,100,20.5,23.1,5,0.06,0.386,needs_followup,0.8448324276961099
Sar2906,100,20.8,28.6,9,0.06,0.322,needs_followup,0.8447262236655498
P12pZb4,100,21.2,22.9,6,0.13,0.335,needs_followup,0.8442014731874516
C46JM11,100,18.7,28.4,10,0.06,0.154,needs_followup,0.8440109468818559
CEQKE72,97,21.1,22.5,7,0.64,0.058,needs_followup,0.8420524152550749
P22ppYG,100,20.2,28.3,6,0.04,0.32,needs_followup,0.841499228209818
Sar2909,100,20.8,23.7,26,0.24,0.392,needs_followup,0.8413806695724263
ZTF10FZ,100,19.1,25.9,4,0.07,0.403,needs_followup,0.8413559132487269
ST26H91,98,19.0,27.2,6,0.2,0.276,needs_followup,0.8410315801880717
XAafbXA,100,20.4,25.3,19,0.49,0.143,needs_followup,0.8407949220296214
P22papF,100,21.5,24.9,4,0.03,0.394,needs_followup,0.8404206465365557
P12oZj5,100,20.0,24.1,6,0.11,0.21,needs_followup,0.8401577844124556
ST26G46,98,19.2,26.5,11,0.29,0.243,needs_followup,0.839973731321935
CERVT62,98,19.9,27.9,14,0.09,0.157,needs_followup,0.8393152382520216
C1FVC25,100,20.9,24.0,7,0.04,0.294,needs_followup,0.8392836746587679
Sar2907,98,20.5,26.0,26,0.24,0.312,needs_followup,0.8391559055794625
ST26G56,100,19.7,26.9,4,0.03,0.418,needs_followup,0.8389334350754327
P12nXcA,80,20.0,22.7,15,1.76,0.699,tracked,0.8386036852632847
ZTF10G6,76,19.8,26.6,16,1.76,0.436,tracked,0.8382956119432513
P22pEwm,97,21.6,22.1,5,0.15,0.314,needs_followup,0.838268327830108
gb00856,98,20.6,26.5,16,0.37,0.057,needs_followup,0.8377888455576308
P22orYF,100,21.7,23.6,6,0.09,0.826,needs_followup,0.83612557630028
P12pRxF,98,19.4,24.7,9,0.44,0.046,needs_followup,0.8357103912543806
P12payR,100,20.2,24.7,3,0.04,0.259,needs_followup,0.8351346558515749
CET5FY2,100,20.1,25.4,8,0.06,0.141,needs_followup,0.8339263105367146
CERCR62,97,21.4,24.9,7,0.07,0.063,needs_followup,0.8327663734570834
gb00867,86,19.6,26.1,29,0.95,0.149,needs_followup,0.8324913573497936
P12p4HF,99,21.2,22.8,6,0.14,0.155,needs_followup,0.8319975297035263
ST26G86,100,18.7,25.6,6,0.02,0.011,needs_followup,0.8316800204762314
P12pfvQ,100,20.6,24.7,3,0.04,0.286,needs_followup,0.8308024980864606
P22pZb2,100,21.9,29.6,3,0.02,0.446,needs_followup,0.830414920034176
ST26H34,100,19.2,24.4,4,0.02,0.078,needs_followup,0.8300817340707323
P22pKZz,97,21.7,21.7,4,0.04,0.268,needs_followup,0.8280143315335786
6J71B21,98,20.2,25.8,10,0.18,0.08,needs_followup,0.8277945578874912
C1FP6F5,100,22.4,22.9,7,0.08,0.324,needs_followup,0.8272151717860595
CERVLV2,97,21.5,22.7,10,0.11,0.155,needs_followup,0.8268255745371197
gb00861,98,20.0,30.3,17,0.3,0.255,needs_followup,0.8268025475192107
P12pEIM,98,21.1,27.6,5,0.09,0.264,needs_followup,0.826709844429965
ST26H14,100,18.9,26.3,4,0.01,0.102,needs_followup,0.8262376337769286
ST26G84,100,18.7,26.4,4,0.03,0.087,needs_followup,0.8262120086032723
ST26G48,100,19.4,25.5,4,0.01,0.457,needs_followup,0.8252589513739552
ST26H49,98,20.0,24.8,9,0.81,0.011,needs_followup,0.8246969083796077
P12oAZ5,100,20.7,24.2,4,0.04,0.281,needs_followup,0.8243808030471651
P22p4wu,100,21.9,24.6,10,0.09,0.347,needs_followup,0.8235839642483109
CER2332,98,20.2,25.1,16,0.21,0.059,needs_followup,0.8232275830728397
P22ooOY,100,21.2,23.8,5,0.08,0.288,needs_followup,0.8220511205030447
A11GjiN,98,19.0,27.8,8,0.38,0.053,needs_followup,0.8210409766296746
CERRAC2,98,20.4,23.5,9,0.11,0.075,needs_followup,0.8209480666317167
